birthDate,draftOverall,draftYear,height,nationalityCode,playerId,shootsCatches,weight,positionCode,Name
1992-12-09,,,73,USA,8479312,L,199,G,Alex Lyon
1995-04-29,44.0,2013.0,76,CAN,8477465,L,201,G,Tristan Jarry
1992-01-18,,,76,USA,8477831,L,205,G,Pheonix Copley
1992-08-19,,,75,CZE,8479496,L,200,G,David Rittich
1994-01-20,45.0,2012.0,78,USA,8476932,L,248,G,Anthony Stolarz
1995-04-19,99.0,2013.0,71,FIN,8477424,L,180,G,Juuse Saros
1996-01-09,39.0,2014.0,74,CZE,8477970,L,184,G,Vitek Vanecek
1992-01-18,,,76,USA,8477831,L,205,G,Pheonix Copley
1996-12-09,42.0,2015.0,76,CAN,8478406,L,225,G,Mackenzie Blackwood
2000-05-12,136.0,2018.0,77,CHE,8481033,L,190,G,Akira Schmid
1999-06-22,153.0,2017.0,75,SWE,8480042,L,189,G,Olle Eriksson Ek
1999-11-08,,,77,CAN,8483183,L,214,G,Jett Alexander
1993-07-31,163.0,2012.0,76,SWE,8476999,L,223,G,Linus Ullmark
1999-06-25,36.0,2019.0,75,RUS,8481611,L,196,G,Pyotr Kochetkov
1993-05-19,130.0,2012.0,76,USA,8476945,L,207,G,Connor Hellebuyck
1994-07-25,19.0,2012.0,76,RUS,8476883,L,223,G,Andrei Vasilevskiy
1996-05-11,76.0,2015.0,76,CAN,8478499,L,222,G,Adin Hill
1999-04-19,104.0,2017.0,74,FIN,8480199,L,184,G,Eetu Makiniemi
1993-07-11,88.0,2011.0,74,CAN,8476412,L,172,G,Jordan Binnington
1999-02-24,161.0,2017.0,75,CZE,8480238,L,212,G,Jiri Patera
1995-06-08,63.0,2013.0,75,CAN,8477484,L,191,G,Spencer Martin
1997-02-22,22.0,2015.0,75,RUS,8478492,L,208,G,Ilya Samsonov
1988-04-27,23.0,2006.0,74,RUS,8473575,L,201,G,Semyon Varlamov
1998-02-02,,,73,CAN,8483575,L,196,G,Matt Murray
1998-08-13,48.0,2016.0,74,CAN,8479394,L,196,G,Carter Hart
1998-01-20,,,75,CAN,8483158,L,205,G,Matthew Berlin
1990-01-31,31.0,2008.0,78,SWE,8474593,L,207,G,Jacob Markstrom
1996-08-19,199.0,2015.0,74,USA,8478916,L,201,G,Joey Daccord
2000-12-13,37.0,2019.0,79,DNK,8481544,L,231,G,Mads Sogaard
2001-03-22,156.0,2019.0,76,LVA,8481668,L,208,G,Arturs Silovs
1996-02-10,,,73,RUS,8480382,L,178,G,Alexandar Georgiev
1989-10-02,87.0,2012.0,76,DNK,8475883,L,229,G,Frederik Andersen
1992-11-27,188.0,2011.0,75,SWE,8476341,L,198,G,Anton Forsberg
1990-01-10,,,77,CAN,8474889,L,203,G,Martin Jones
1985-04-09,291.0,2003.0,74,CAN,8470880,L,221,G,Brian Elliott
1996-10-14,183.0,2015.0,75,SWE,8478902,L,200,G,Erik Kallgren
1994-10-19,129.0,2013.0,74,USA,8477361,R,185,G,Cal Petersen
2001-12-27,212.0,2020.0,72,CAN,8482221,L,192,G,Devon Levi
1992-08-14,84.0,2010.0,74,CAN,8475809,L,201,G,Scott Wedgewood
1994-04-28,62.0,2012.0,76,FIN,8476914,L,200,G,Joonas Korpisalo
1995-12-08,36.0,2014.0,76,USA,8477967,L,192,G,Thatcher Demko
2001-04-19,13.0,2019.0,75,USA,8481519,L,191,G,Spencer Knight
1999-03-05,114.0,2018.0,77,RUS,8481031,L,195,G,Ivan Prosvetov
