birthDate,draftOverall,draftYear,height,nationalityCode,playerId,shootsCatches,weight,positionCode,Name
1992-12-09,,,73,USA,8479312,L,199,G,Alex Lyon
1995-04-29,44.0,2013.0,76,CAN,8477465,L,201,G,Tristan Jarry
1992-08-19,,,75,CZE,8479496,L,200,G,David Rittich
1994-01-20,45.0,2012.0,78,USA,8476932,L,248,G,Anthony Stolarz
1995-04-19,99.0,2013.0,71,FIN,8477424,L,180,G,Juuse Saros
1996-01-09,39.0,2014.0,74,CZE,8477970,L,184,G,Vitek Vanecek
2000-05-12,136.0,2018.0,77,CHE,8481033,L,190,G,Akira Schmid
1996-12-09,42.0,2015.0,76,CAN,8478406,L,225,G,Mackenzie Blackwood
1999-06-25,36.0,2019.0,75,RUS,8481611,L,196,G,Pyotr Kochetkov
1993-05-19,130.0,2012.0,76,USA,8476945,L,207,G,Connor Hellebuyck
1994-07-25,19.0,2012.0,76,RUS,8476883,L,223,G,Andrei Vasilevskiy
1993-07-11,88.0,2011.0,74,CAN,8476412,L,172,G,Jordan Binnington
1996-08-19,199.0,2015.0,74,USA,8478916,L,201,G,Joey Daccord
1990-01-31,31.0,2008.0,78,SWE,8474593,L,207,G,Jacob Markstrom
2001-03-22,156.0,2019.0,76,LVA,8481668,L,208,G,Arturs Silovs
2003-05-20,222.0,2021.0,73,SWE,8482761,L,186,G,Carl Lindbom
1989-10-02,87.0,2012.0,76,DNK,8475883,L,229,G,Frederik Andersen
1992-11-27,188.0,2011.0,75,SWE,8476341,L,198,G,Anton Forsberg
2002-01-04,78.0,2021.0,73,BLR,8482783,L,185,G,Aleksei Kolosov
1992-08-14,84.0,2010.0,74,CAN,8475809,L,201,G,Scott Wedgewood
1994-04-28,62.0,2012.0,76,FIN,8476914,L,200,G,Joonas Korpisalo
1995-12-08,36.0,2014.0,76,USA,8477967,L,192,G,Thatcher Demko
2001-04-19,13.0,2019.0,75,USA,8481519,L,191,G,Spencer Knight
1999-03-09,54.0,2017.0,77,FIN,8480045,L,223,G,Ukko-Pekka Luukkonen
1999-08-11,199.0,2017.0,75,USA,8480051,L,205,G,Cayden Primeau
2001-05-27,136.0,2020.0,76,CZE,8482487,L,215,G,Jakub Dobes
1996-05-11,76.0,2015.0,76,CAN,8478499,L,222,G,Adin Hill
2001-02-05,202.0,2019.0,73,CAN,8481529,L,185,G,Trent Miner
2002-06-16,11.0,2020.0,75,RUS,8482137,R,180,G,Yaroslav Askarov
1988-09-20,,,74,RUS,8475683,L,180,G,Sergei Bobrovsky
1995-12-30,118.0,2014.0,73,RUS,8478048,L,199,G,Igor Shesterkin
1993-12-18,,,74,USA,8479292,R,190,G,Charlie Lindgren
1996-05-25,145.0,2015.0,76,CZE,8478872,R,221,G,Karel Vejmelka
1991-11-25,112.0,2010.0,73,DEU,8475831,L,188,G,Philipp Grubauer
2001-03-30,,,72,CAN,8482982,L,188,G,Jet Greaves
1992-02-14,141.0,2010.0,74,CZE,8475852,L,192,G,Petr Mrazek
2000-03-11,64.0,2018.0,76,FIN,8481020,L,210,G,Justus Annunen
1986-01-21,72.0,2005.0,73,USA,8471734,L,219,G,Jonathan Quick
1990-05-05,161.0,2009.0,77,CAN,8475311,L,215,G,Darcy Kuemper
1999-03-27,86.0,2017.0,77,RUS,8480193,L,203,G,Daniil Tarasov
1992-04-15,49.0,2010.0,73,CAN,8475717,L,206,G,Calvin Pickard
1987-07-05,,,75,CAN,8475660,L,202,G,Cam Talbot
