birthDate,draftOverall,draftYear,height,nationalityCode,playerId,shootsCatches,weight,positionCode,Name
2006-08-21,13.0,2024.0,71,CAN,8484779,R,180,C,Jett Luchanko
1994-12-09,,,69,CAN,8479066,L,184,L,Ryan Lomberg
1995-05-03,,,75,DEU,8481477,L,209,C,Nico Sturm
2004-01-13,29.0,2022.0,78,CAN,8483472,R,196,D,Maveric Lamoureux
2000-02-25,14.0,2018.0,72,USA,8480797,L,186,L,Joel Farabee
1992-10-29,151.0,2012.0,73,CAN,8476525,R,200,D,Colin Miller
1993-10-12,44.0,2012.0,73,USA,8476931,L,210,D,Jake McCabe
1990-02-07,1.0,2008.0,73,CAN,8474564,R,193,C,Steven Stamkos
1994-01-20,6.0,2012.0,76,SWE,8476854,L,217,D,Hampus Lindholm
2005-07-17,1.0,2023.0,70,CAN,8484144,R,190,C,Connor Bedard
2002-02-02,,,73,CAN,8484901,L,204,C,Jacob Quillan
2000-12-09,57.0,2019.0,76,CAN,8481541,L,224,D,Samuel Bolduc
1996-04-13,186.0,2015.0,76,CAN,8478904,L,219,C,Steven Lorentz
2000-07-06,3.0,2018.0,75,FIN,8480829,L,212,C,Jesperi Kotkaniemi
1994-03-25,,,77,CAN,8477073,L,233,L,Kurtis MacDermid
1994-04-11,55.0,2014.0,72,CAN,8477986,R,199,D,Brandon Montour
2000-02-07,167.0,2020.0,74,SWE,8482496,L,179,C,Nils Aman
1993-05-05,30.0,2011.0,73,SWE,8476483,R,194,R,Rickard Rakell
1994-03-09,5.0,2012.0,73,CAN,8476853,L,219,D,Morgan Rielly
1997-04-15,32.0,2015.0,74,USA,8478432,R,212,R,Christian Fischer
2002-08-12,99.0,2021.0,77,FIN,8482866,R,210,D,Ville Ottavainen
1993-03-15,7.0,2011.0,75,CAN,8476460,R,207,C,Mark Scheifele
2004-12-21,123.0,2023.0,69,CAN,8484152,L,180,D,Luca Cagnoni
2003-02-26,47.0,2021.0,68,CAN,8482702,R,165,C,Logan Stankoven
2001-04-30,,,71,CAN,8481789,L,202,L,Tye Kartye
1991-12-13,16.0,2010.0,73,RUS,8475765,L,219,R,Vladimir Tarasenko
1993-06-17,58.0,2011.0,72,RUS,8476453,L,173,R,Nikita Kucherov
1994-04-06,,,74,RUS,8480950,R,206,D,Ilya Lyubushkin
1997-04-28,52.0,2015.0,75,CAN,8478468,L,225,D,Jeremy Lauzon
2004-07-12,12.0,2022.0,71,CAN,8483485,L,188,D,Denton Mateychuk
2002-01-10,44.0,2020.0,77,USA,8482095,L,225,D,Tyler Kleven
2004-02-15,2.0,2022.0,73,SVK,8483495,R,190,D,Simon Nemec
2001-05-26,52.0,2019.0,74,BLR,8481609,L,198,D,Vladislav Kolyachonok
2002-11-26,59.0,2021.0,78,FIN,8482726,L,201,C,Samuel Helenius
2003-09-09,4.0,2021.0,74,USA,8482684,L,198,D,Luke Hughes
1995-08-26,80.0,2013.0,72,CAN,8477407,L,198,L,Anthony Duclair
1999-08-16,11.0,2017.0,75,CAN,8480014,R,216,C,Gabriel Vilardi
1994-05-07,95.0,2012.0,75,CAN,8476981,R,226,R,Josh Anderson
2003-04-28,32.0,2021.0,74,CAN,8482700,L,195,D,Nolan Allan
1993-04-20,78.0,2012.0,71,USA,8476906,L,183,D,Shayne Gostisbehere
2002-08-20,,,72,CZE,8483930,L,190,C,Ivan Ivan
1992-02-26,9.0,2010.0,70,FIN,8475798,L,193,C,Mikael Granlund
1998-04-14,,,72,USA,8482641,L,182,D,Matt Kiersted
1993-11-05,50.0,2012.0,73,CAN,8476925,R,200,C,Colton Sissons
1999-09-21,40.0,2018.0,75,CAN,8480802,L,204,C,Ryan McLeod
2002-01-09,203.0,2020.0,71,USA,8482507,L,180,L,Chase Bradley
1999-08-16,11.0,2017.0,75,CAN,8480014,R,216,C,Gabriel Vilardi
