birthDate,draftOverall,draftYear,height,nationalityCode,playerId,shootsCatches,weight,positionCode,Name
1992-12-09,,,73,USA,8479312,L,199,G,Alex Lyon
1982-03-22,161.0,2001.0,77,CAN,8469608,L,220,G,Mike Smith
1995-04-29,44.0,2013.0,76,CAN,8477465,L,201,G,Tristan Jarry
1992-01-18,,,76,USA,8477831,L,205,G,Pheonix Copley
1992-08-19,,,75,CZE,8479496,L,200,G,David Rittich
1997-08-20,75.0,2015.0,77,CZE,8478435,L,209,G,Dan Vladar
1993-07-11,88.0,2011.0,74,CAN,8476412,L,172,G,Jordan Binnington
1994-01-20,45.0,2012.0,78,USA,8476932,L,248,G,Anthony Stolarz
1995-04-19,99.0,2013.0,71,FIN,8477424,L,180,G,Juuse Saros
1996-01-09,39.0,2014.0,74,CZE,8477970,L,184,G,Vitek Vanecek
1996-12-09,42.0,2015.0,76,CAN,8478406,L,225,G,Mackenzie Blackwood
1988-02-11,,,74,CAN,8477202,L,215,G,Andrew Hammond
2000-05-12,136.0,2018.0,77,CHE,8481033,L,190,G,Akira Schmid
1999-06-09,64.0,2017.0,73,CAN,8480022,L,205,G,Michael DiPietro
1993-07-31,163.0,2012.0,76,SWE,8476999,L,223,G,Linus Ullmark
1999-06-25,36.0,2019.0,75,RUS,8481611,L,196,G,Pyotr Kochetkov
1994-07-25,19.0,2012.0,76,RUS,8476883,L,223,G,Andrei Vasilevskiy
1993-05-19,130.0,2012.0,76,USA,8476945,L,207,G,Connor Hellebuyck
1988-07-18,31.0,2009.0,79,FIN,8475156,L,202,G,Mikko Koskinen
1988-08-07,11.0,2006.0,72,CAN,8473541,L,185,G,Jonathan Bernier
1993-07-11,88.0,2011.0,74,CAN,8476412,L,172,G,Jordan Binnington
1995-05-28,36.0,2013.0,74,CAN,8477457,L,189,G,Zach Fucale
1989-09-16,93.0,2008.0,73,CAN,8474651,L,215,G,Braden Holtby
1995-06-08,63.0,2013.0,75,CAN,8477484,L,191,G,Spencer Martin
1997-02-22,22.0,2015.0,75,RUS,8478492,L,208,G,Ilya Samsonov
1988-04-27,23.0,2006.0,74,RUS,8473575,L,201,G,Semyon Varlamov
1998-01-31,,,73,CZE,8480373,L,185,G,Josef Korenar
1991-07-13,95.0,2009.0,73,CAN,8475234,L,177,G,J-F Berube
1992-03-06,138.0,2010.0,75,CAN,8475839,R,207,G,Louis Domingue
1998-08-13,48.0,2016.0,74,CAN,8479394,L,196,G,Carter Hart
1990-01-31,31.0,2008.0,78,SWE,8474593,L,207,G,Jacob Markstrom
1996-08-19,199.0,2015.0,74,USA,8478916,L,201,G,Joey Daccord
2000-12-13,37.0,2019.0,79,DNK,8481544,L,231,G,Mads Sogaard
1990-01-10,,,77,CAN,8474889,L,203,G,Martin Jones
1989-10-02,87.0,2012.0,76,DNK,8475883,L,229,G,Frederik Andersen
1992-11-27,188.0,2011.0,75,SWE,8476341,L,198,G,Anton Forsberg
1996-02-10,,,73,RUS,8480382,L,178,G,Alexandar Georgiev
